sweetener_name,description,pros,cons,food_categories
수크랄로스,"설탕으로부터 제조된 인공 감미료로 설탕보다 600배 달콤함","제로 칼로리, 열에 강해 베이킹 가능, 설탕과 매우 유사한 맛","과다 섭취 시 장내 미생물 불균형 유발 가능성, 드물게 알레르기 반응","탄산음료, 과자, 아이스크림, 베이커리"
아스파탐,"아미노산으로 이루어진 인공 감미료로 설탕보다 200배 달콤함","제로 칼로리에 가까움, 단맛의 발현이 빠름","열에 약해 베이킹에 부적합, 페닐케톤뇨증 환자 섭취 금지","탄산음료, 껌, 젤리, 탁주"
아세설팜칼륨,"체내에서 대사되지 않는 인공 감미료로 보통 다른 감미료와 혼합 사용","체내 흡수되지 않아 칼로리 0, 단맛을 빠르게 냄","고농도에서 쓴맛 유발, 단독 사용 시 한계","탄산음료, 에너지드링크, 스포츠음료"
사카린,"세계에서 가장 오래된 인공 감미료 중 하나로 설탕의 300배 단맛","가격이 매우 저렴, 제로 칼로리","특유의 쓴 뒷맛, 과거 유해성 논란(현재는 안전성 입증됨)","절임류, 소주, 제과제빵"
네오탐,"아스파탐의 단점을 개선한 감미료로 설탕의 7000~13000배 단맛","극소량으로 강한 단맛 제공, 열에 비교적 안정적","인공 감미료에 대한 막연한 거부감, 대중적인 인지도 낮음","제과제빵, 음료, 디저트류"
스테비아,"스테비아 잎에서 추출한 천연 감미료","천연 유래 성분, 혈당 지수 0, 충치 예방 도움","특유의 쌉싸름한 뒷맛, 박하향 같은 화한 느낌, 베이킹 시 구조감 다름","커피 믹스, 차 음료, 가루형 감미료"
알룰로스,"무화과 등에서 발견되는 천연 희소당","칼로리가 설탕의 1/10 수준, 혈당 상승 억제, 설탕과 유사한 요리 물성","과다 섭취 시 복부 팽만 및 설사 유발 가능성, 비교적 비싼 가격","아이스크림, 액상당, 과자, 요거트"
나한과 추출물,"나한과 열매에서 추출한 천연 감미료","천연 유래 성분, 항산화 작용 포함, 뒷맛이 깔끔함","구하기 다소 어려움, 특유의 과일향이 요리 맛을 해칠 수 있음","차 음료, 고급 감미료, 건강기능식품"
타우마틴,"서아프리카 식물 카템페 열매에서 추출한 단백질계 감미료","설탕보다 약 2000~3000배 단맛, 감칠맛 상승 효과","단맛이 천천히 나고 오래 지속됨, 가열하면 단맛이 사라짐","껌, 조미료 첨가제, 젤리"
자일로스,"자작나무 등에서 추출한 식물성 감미료","체내 설탕 흡수율을 낮추는 데 도움을 줌","단독 사용보다 설탕과 혼합하여 흡수를 줄이는 용도로 주로 쓰임","자일로스 설탕, 커피 믹스, 과일청"
에리스리톨,"포도당을 발효시켜 만든 당알코올","체내에 거의 흡수되지 않아 배출됨, 청량한 단맛, 충치 예방","과다 섭취 시 소화불량 및 설사, 끝에 화한 느낌, 물에 잘 녹지 않음","과자, 캔디, 디저트, 제로 잼"
말티톨,"엿기름(맥아당)을 환원하여 만든 당알코올","설탕과 가장 유사한 질감과 단맛, 보습성 뛰어나 부드러운 식감 제공","당알코올 중 혈당 수치 상승 폭이 큰 편, 과다 섭취 시 복통 유발","무설탕 초콜릿, 젤리, 아이스크림, 빵"
자일리톨,"자작나무 등에서 추출하여 환원한 당알코올","충치균 억제로 치아 건강에 좋음, 강한 청량감","과다 섭취 시 설사 유발, 반려견에게는 치명적인 독성","껌, 캔디, 치약, 민트 사탕"
소르비톨,"사과, 배 등에서 자연 생성되는 당알코올","수분을 유지하는 성질(보습 효과)이 뛰어나 가공식품의 촉촉함 유지","단맛이 설탕의 절반 수준에 불과, 설사 유발 가능성이 큼","어육가공품(크래미), 젤리, 촉촉한 과자류"
만니톨,"미역, 다시마 등 해조류에서 주로 발견되는 당알코올","상쾌하고 시원한 단맛, 약품 코팅 등에도 널리 쓰임","용해도가 낮아 일부 식품에 적용 한계, 다량 섭취 시 소화기 장애","껌, 의약품, 무가당 디저트"
