product_name,sweetener_used,benefits,drawbacks,cautions
코카콜라 제로,"수크랄로스, 아세설팜칼륨","당류 0g으로 다이어트와 혈당 관리에 도움","합성 감미료 특유의 끝맛이 느껴질 수 있음","과다 섭취 시 장내 미생물 불균형 우려"
펩시 제로슈거 라임,"아스파탐, 아세설팜칼륨, 수크랄로스","제로 칼로리에 라임향으로 청량감 극대화","아스파탐 함유로 페닐케톤뇨증 환자 주의 필요","다량 섭취 시 합성 감미료 누적 효과 우려"
칠성사이다 제로,"알룰로스, 수크랄로스","기존 사이다와 매우 유사한 청량감 제공","과다 섭취 시 가스 참이나 복부 팽만감 발생 가능","소화기가 약한 사람은 섭취량 조절 필요"
웰치스 제로 포도,"알룰로스, 수크랄로스, 아세설팜칼륨","포도향을 살린 달콤함과 제로 칼로리","다양한 감미료 혼합으로 인한 복합적인 뒷맛","알룰로스 특성상 다량 섭취 시 설사 유발 가능성"
맥콜 제로,"수크랄로스, 아세설팜칼륨","구수한 보리 맛을 그대로 유지","보리 맛과 감미료의 밸런스가 호불호 갈림","특이 체질의 경우 합성 감미료 알레르기 주의"
환타 제로 오렌지,"수크랄로스, 아세설팜칼륨","상큼한 과일향을 살린 제로 칼로리 음료","인공적인 오렌지 향과 감미료 단맛이 충돌할 수 있음","어린이 과다 섭취 시 단맛 중독 주의"
스프라이트 제로,"수크랄로스, 아세설팜칼륨","강한 탄산과 시원한 제로슈거","시트러스 계열이라 감미료 쓴맛이 일부 느껴질 수 있음","공복 섭취 시 위장 자극 가능성"
밀키스 제로,"알룰로스, 수크랄로스","부드러운 우유 탄산을 제로 칼로리로 구현","알룰로스가 함유되어 장이 민감하면 불편할 수 있음","유제품 알레르기 및 장 민감성 동시 주의"
티즐 제로 자몽블랙티,"에리스리톨, 수크랄로스","차 특유의 떫은 맛을 줄이고 칼로리 없음","에리스리톨 특유의 화한 끝맛이 차 향을 가릴 수 있음","다량 섭취 시 위장 장애 발생 가능"
보성홍차 아이스티 제로,"에리스리톨, 수크랄로스, 아세설팜칼륨","진한 홍차 맛을 무설탕으로 즐김","감미료 3종 혼합으로 뒷맛이 다소 남음","이뇨 작용이 있을 수 있으니 수분 섭취 병행 권장"
립톤 제로 복숭아,"수크랄로스, 아세설팜칼륨","복숭아 아이스티의 맛을 제로 칼로리로 구현","합성 감미료 의존도가 높아 자연스러운 단맛이 부족","임산부 및 유아는 과다 섭취 주의"
닥터페퍼 제로,"아스파탐, 아세설팜칼륨, 수크랄로스","특유의 체리향 탄산을 제로로 즐김","페닐알라닌(아스파탐) 함유로 체질에 따라 주의 요망","페닐케톤뇨증 환자는 절대 섭취 금지"
마운틴듀 제로,"아스파탐, 아세설팜칼륨, 수크랄로스","강렬한 시트러스 맛과 제로 칼로리","아스파탐 특유의 가벼운 단맛이 빠르게 사라짐","고카페인 및 감미료 동시 섭취 주의"
탐스 제로 사과키위,"에리스리톨, 수크랄로스","과일 블렌딩 향을 무설탕으로 구현","에리스리톨 섭취 시 일시적인 청량감이 과일향을 해칠 수 있음","장 민감자는 소량 섭취 권장"
몬스터 에너지 울트라,"에리스리톨, 수크랄로스, 아세설팜칼륨","제로 칼로리로 강력한 에너지 부스트","카페인과 감미료 동시 섭취 시 두근거림 가능성","임산부 및 카페인 민감자는 섭취 피할 것"
핫식스 더킹 제로,"에리스리톨, 수크랄로스, 아세설팜칼륨","가성비 좋은 국산 제로 에너지 드링크","끝맛에 감미료 특유의 인공적인 맛이 남음","수면장애 및 위장장애 유발 가능성"
레드불 슈가프리,"아스파탐, 아세설팜칼륨","클래식 에너지 드링크의 슈가프리 버전","아스파탐의 짧은 단맛 지속력","페닐케톤뇨증 환자 섭취 금지"
비타500 제로,"알룰로스, 수크랄로스","비타민C 보충과 당류 0g의 이점","비타민 특유의 신맛과 감미료 단맛이 분리될 수 있음","공복 섭취 시 속쓰림 유발 가능성"
나랑드 사이다,"수크랄로스, 아세설팜칼륨","칼로리, 색소, 설탕 무첨가로 깔끔함","단맛이 강해 탄산수가 아닌 단 음료로 느껴짐","합성 감미료 지속 섭취 시 미각 둔화 우려"
데미소다 제로,"에리스리톨, 수크랄로스","사과 등 과즙 느낌을 무설탕으로 구현","에리스리톨 함량이 높아 시원한 뒷맛이 강함","과다 섭취 시 복통 유발"
쿨피스톡 제로,"수크랄로스, 아세설팜칼륨","매운 음식과 어울리는 쿨피스의 제로 버전","유산균 음료 특유의 바디감이 다소 부족해짐","다량 섭취 시 소화기 불편감"
파워에이드 제로,"수크랄로스, 아세설팜칼륨","운동 후 전해질 보충을 칼로리 없이 해결","합성 감미료의 단맛이 갈증 해소에 방해될 수 있음","신장 질환자 섭취 시 주의"
게토레이 제로,"수크랄로스, 아세설팜칼륨","스포츠 음료의 산뜻한 레몬향 유지","일반 게토레이보다 단맛이 오래 남는 경향","운동 직후 섭취 시 위장 자극 우려"
이온더핏 제로,"수크랄로스, 아세설팜칼륨","가벼운 수분 보충용 제로 음료","물 대신 마시기에는 단맛이 부담스러울 수 있음","물 대신 장기 섭취 시 감미료 누적 주의"
링티 제로,"에리스리톨, 수크랄로스","복숭아맛 등 맛있게 수분 및 비타민 보충","에리스리톨 베이스라 과다 섭취 시 속 불편함","하루 1~2포/병 이내로 제한할 것"
매일두유 고단백 검은콩,"알룰로스","설탕 없이 검은콩의 고소함과 단백질 보충","알룰로스 특성상 우유/두유와 결합 시 가스 발생 가능성","과민성 대장 증후군 환자는 주의"
아몬드브리즈 뉴트리플러스 제로,"알룰로스","아몬드 밀크의 고소함과 제로 칼로리의 조화","질감이 약간 묽어지고 단맛이 약할 수 있음","다량 섭취 시 설사 유발"
